Customer_ID,Customer_Name,Age,Gender,Email,Phone,Product_Category,Quantity,Unit_Price,Discount_Percentage,Order_Amount,Order_Date,Delivery_Date,Payment_Status,Payment_Method,Country_Code,Customer_Status
CUST0001,Divya Das,19.0,Female,divya.das1@example.com,7851009484,Sports,7.0,20709.29,48.83,74178.61,2025-06-25,2025-06-30,Failed,Net Banking,IN,Inactive
CUST0002,Kavya Reddy,25.0,Male,kavya.reddy2@example.com,9413315900,Clothing,1.0,19925.32,14.8,16976.37,2026-03-27,2026-04-03,Failed,Credit Card,AU,Inactive
CUST0003,Suresh Nair,33.0,Male,suresh.nair3@example.com,7640667940,Clothing,5.0,1001.54,6.72,4671.18,2026-08-08,2026-08-18,Pending,Credit Card,IN,Inactive
CUST0004,Vijay Kumar,37.0,Female,vijay.kumar4@example.com,9181964858,Electronics,3.0,43981.22,34.15,86884.9,2024-09-16,2024-09-26,Refunded,Net Banking,CA,Inactive
CUST0005,Arun Reddy,30.0,Female,arun.reddy5@example.com,7870275138,Electronics,8.0,8382.61,29.51,47271.21,2026-04-09,2026-04-14,,Net Banking,US,Active
CUST0006,Divya Sharma,48.0,Female,divya.sharma6@example.com,8090300997,Sports,1.0,8580.98,48.8,4393.46,2025-05-15,2025-05-19,Pending,UPI,CA,Inactive
CUST0007,Priya Nair,51.0,Male,priya.nair7@example.com,8081971235,Clothing,6.0,29918.8,29.38,126771.94,2024-09-26,2024-10-03,Failed,Cash,AE,Active
CUST0008,Arun Raj,40.0,Other,arun.raj8@example.com,7713989291,Clothing,3.0,2332.76,14.34,5994.73,2024-02-02,2024-02-11,Pending,Cash,UK,Inactive
CUST0009,Divya Singh,39.0,Other,divya.singh9@example.com,7998362505,Electronics,5.0,33153.92,4.26,158707.82,2025-03-22,2025-03-28,Refunded,UPI,IN,Active
CUST0010,Suresh Raj,44.0,Male,suresh.raj10@example.com,8808303840,Electronics,8.0,48205.89,35.8,247585.45,2025-03-10,2025-03-17,Failed,Credit Card,US,Inactive
CUST0011,Divya Reddy,63.0,Other,divya.reddy11@example.com,9847364225,Clothing,5.0,46620.44,21.66,182612.26,2026-08-07,2026-08-12,Paid,UPI,CA,Active
CUST0012,Suresh Das,22.0,Female,suresh.das12@example.com,8231190086,Books,5.0,21322.1,35.26,69019.64,2026-07-18,2026-07-20,Complete,Cash,AE,Inactive
CUST0013,Divya Singh,44.0,Other,divya.singh13@example.com,8456554169,Clothing,9.0,3539.45,47.34,16774.87,2026-08-31,2026-09-08,Refunded,Debit Card,AU,Inactive
CUST0014,Arun Singh,45.0,Other,arun.singh14@example.com,9908731848,Sports,7.0,24255.5,38.97,103621.92,2026-07-02,2026-07-10,Refunded,UPI,AU,Inactive
CUST0015,Anitha Raj,33.0,Other,anitha.raj15@example.com,7964533352,Home & Kitchen,9.0,14881.53,11.6,118397.45,2026-02-21,2026-03-02,Failed,Credit Card,AU,Active
CUST0016,Divya Reddy,47.0,Female,divya.reddy16@example.com,8761691437,Home & Kitchen,6.0,8403.88,49.1,25665.45,2024-06-25,2024-07-05,Failed,Net Banking,US,Active
CUST0017,Kavya Reddy,40.0,Other,kavya.reddy17@example.com,9697282740,Sports,10.0,Unknown,14.77,91547.59,2024-11-22,2024-11-29,Pending,Credit Card,IN,Inactive
CUST0018,,28.0,Female,anitha.nair18@example.com,8918114556,Books,10.0,20652.7,19.41,166440.11,2024-02-16,2024-02-17,Failed,Net Banking,IN,Active
CUST0019,Karthik Singh,50.0,Male,karthik.singh19@example.com,9725360574,Electronics,4.0,27525.78,5.02,104575.94,2026-02-01,2026-02-04,Failed,Credit Card,SG,Inactive
CUST0020,Rahul Reddy,20.0,Other,rahul.reddy20@example.com,8401373595,Home & Kitchen,9.0,3401.09,9.98,27554.95,2025-02-21,2025-02-27,Pending,Cash,UK,Active
CUST0021,Priya Patel,35.0,Female,priya.patel21@example.com,8454739066,Clothing,4.0,36433.76,13.73,125725.62,2025-08-25,2025-09-02,Paid,Net Banking,US,Active
CUST0022,Meena Nair,47.0,Other,meena.nair22@example.com,7501022968,Home & Kitchen,9.0,22208.97,3.76,192365.21,2025-10-02,2025-10-07,Pending,Credit Card,UK,Inactive
CUST0023,Karthik Raj,41.0,Other,karthik.raj23@example.com,7805814485,Electronics,1.0,36644.11,28.05,26365.44,2025-11-15,2025-11-18,Pending,UPI,IN,Active
CUST0024,Karthik Reddy,61.0,Female,karthik.reddy24@example.com,9485850600,Electronics,9.0,9605.47,6.51,80821.39,2024-05-30,2024-06-06,Refunded,Credit Card,IN,Inactive
CUST0025,Anitha Reddy,21.0,Other,anitha.reddy25@example.com,9227592652,Electronics,4.0,39558.72,3.57,152585.89,2025-09-09,2025-09-19,Paid,Cash,AU,Active
CUST0026,Divya Nair,31.0,Female,divya.nair26@example.com,8455677331,Electronics,7.0,40998.46,29.91,201150.74,2026-03-21,2026-03-27,Refunded,Cash,CA,Inactive
CUST0027,Arun Kumar,28.0,Other,arun.kumar27@example.com,9214824384,Home & Kitchen,9.0,15627.32,24.23,106567.38,2025-12-08,2025-12-15,Paid,UPI,US,Active
CUST0028,Anitha Singh,38.0,,anitha.singh28@example.com,8276378621,Sports,6.0,17363.2,38.63,63934.78,2024-05-20,2024-05-28,Paid,Credit Card,SG,Active
CUST0029,Meena Kumar,57.0,Female,meena.kumar29@example.com,,Books,10.0,24963.57,2.7,242895.54,2026-06-18,2026-06-23,Pending,Net Banking,US,Active
CUST0030,Meena Kumar,19.0,Female,meena.kumar30@example.com,8610077473,Books,2.0,32517.25,36.53,41277.4,2024-09-11,2024-09-21,Refunded,UPI,AE,Inactive
CUST0031,Karthik Nair,63.0,Male,karthik.nair31@example.com,7722082594,Electronics,7.0,6679.97,15.33,39591.51,2025-09-23,2025-09-29,Failed,UPI,AU,Active
CUST0032,Priya Singh,23.0,Male,priya.singh32@example.com,8955862084,Electronics,7.0,13798.14,20.65,76641.77,2025-02-27,2025-03-08,Pending,UPI,AU,Inactive
CUST0033,Meena Singh,47.0,Other,meena.singh33@example.com,8460873903,Sports,8.0,35570.88,38.16,175976.26,2024-10-05,2024-10-07,Refunded,Credit Card,US,Active
CUST0034,Vijay Patel,26.0,Other,vijay.patel34@example.com,8736166410,Electronics,9.0,35048.45,47.26,166360.97,2025-08-31,2025-09-03,Pending,Net Banking,US,Inactive
CUST0035,Meena Sharma,23.0,Other,meena.sharma35@example.com,7045619287,Electronics,3.0,26748.71,28.05,57737.09,2025-09-26,2025-10-05,Refunded,Net Banking,CA,Inactive
CUST0036,Priya Reddy,25.0,Other,priya.reddy36@example.com,,Sports,7.0,22685.06,19.41,127973.23,2026-07-04,2026-07-10,Failed,Net Banking,US,Active
CUST0037,Anitha Reddy,52.0,Other,anitha.reddy37@example.com,8541648336,Electronics,6.0,12764.24,41.21,45024.58,2025-02-04,2025-02-11,Pending,Net Banking,AU,Inactive
CUST0038,Anitha Reddy,29.0,Other,anitha.reddy38@example.com,7725418988,Electronics,6.0,22644.37,45.43,74142.2,2026-05-06,2026-05-14,Paid,Credit Card,UK,Inactive
CUST0039,Arun Raj,46.0,Other,arun.raj39@example.com,7079222422,Home & Kitchen,4.0,15589.41,44.95,34327.88,2025-03-18,2025-03-25,Paid,Credit Card,SG,Inactive
CUST0040,Suresh Reddy,53.0,Female,suresh.reddy40@example.com,9030888345,Sports,8.0,16410.78,40.98,77485.14,2024-08-01,2024-08-04,Pending,Credit Card,US,Active
CUST0041,Suresh Das,42.0,Female,suresh.das41@example.com,8217886678,Sports,5.0,46216.0,48.66,118636.47,2024-10-18,2024-10-19,Pending,Debit Card,SG,Inactive
